filename	read_id	run_id	channel	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	num_called_template	sequence_length_template	mean_qscore_template	strand_score_template	barcode_arrangement	barcode_score	barcode_full_arrangement	front_score	rear_score	front_begin_index	front_foundseq_length	rear_end_index	rear_foundseq_length	kit	variant
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_sequencing_run_Test_AmpSeq_65999_read_1009_ch_1858_strand.fast5	c7d21abf-0d1a-4b14-8ef1-a34e1785f460	fa595ecb16155a30b1ea23ccd337bf143a0a7a87	1858	412.111	2.3675	1352	False	0.0	1352	2.3675	1352	526	6.017	-0.0017	unclassified	33.59321975708008	BC31_var1	33.59321975708008	18.16666603088379	8	38	56	36	BC	var1
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_sequencing_run_Test_AmpSeq_65999_read_100_ch_1012_strand.fast5	900c1bd4-aa3f-47d4-a6e9-0e5b1f08034f	fa595ecb16155a30b1ea23ccd337bf143a0a7a87	1012	288.75075	1.66375	431	True	0.90825	431	0.7555	431	347	11.545	-0.0031	barcode09	64.92308044433594	NB09_var1	64.92308044433594	20.844444274902344	22	38	55	37	NB	var1
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_sequencing_run_Test_AmpSeq_65999_read_100_ch_1051_strand.fast5	7a368b2a-6961-4519-9286-91effbb5a42a	fa595ecb16155a30b1ea23ccd337bf143a0a7a87	1051	391.77875	1.549	885	False	0.0	885	1.549	885	318	6.783	-0.0015	unclassified	36.39215850830078	RAB02_var1	36.39215850830078	11.647058486938477	81	43	99	47	RAB	var1
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_mux_scan_Test_AmpSeq_36535_read_9_ch_2165_strand.fast5	803e3b7e-5396-41dc-a6d3-03ba34be293b	dc6f33ab40634a100dda29fa731d104f7d9c9b5d	2165	15.2465	34.17425	19492	True	0.0625	19492	34.11175	19492	15615	11.842	-0.0002	unclassified	37.20000076293945	BC50_var2	37.20000076293945	16.13559341430664	80	44	3	35	BC	var2
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_sequencing_run_Test_AmpSeq_65999_read_100_ch_1086_strand.fast5	23764523-afeb-4d92-8c6b-31e3541570e4	fa595ecb16155a30b1ea23ccd337bf143a0a7a87	1086	272.9865	1.18	0	False	0.0	0	0.0	0	0	0.0	0.0	unclassified	0.0	n/a	-inf	-inf	-1	0	-1	0	n/a	n/a
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_mux_scan_Test_AmpSeq_36535_read_99_ch_1051_strand.fast5	fe02617d-7c34-403b-a1df-460d694c1c28	dc6f33ab40634a100dda29fa731d104f7d9c9b5d	1051	154.11325	34.795	19725	True	0.27575	19725	34.51925	19725	12960	11.501	-0.0002	unclassified	35.72549057006836	RAB06_var1	35.72549057006836	1.0196079015731812	119	28	77	56	RAB	var1
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_sequencing_run_Test_AmpSeq_65999_read_100_ch_1106_strand.fast5	174cb16a-c6fa-443d-85a5-fc211042560a	fa595ecb16155a30b1ea23ccd337bf143a0a7a87	1106	52.7795	1.059	0	False	0.0	0	0.0	0	0	0.0	0.0	unclassified	0.0	n/a	-inf	-inf	-1	0	-1	0	n/a	n/a
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_mux_scan_Test_AmpSeq_36535_read_9_ch_2385_strand.fast5	d406d951-534e-4082-8490-2ff1a6a82969	dc6f33ab40634a100dda29fa731d104f7d9c9b5d	2385	16.72125	32.6995	18499	True	0.32575	18499	32.37375	18499	13927	10.257	-0.0003	unclassified	35.24444580078125	NB07_var1	16.820512771606445	35.24444580078125	118	29	9	31	NB	var1
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_sequencing_run_Test_AmpSeq_65999_read_100_ch_1078_strand.fast5	4b19ef98-fd11-4e2d-a287-bc6693f307ec	fa595ecb16155a30b1ea23ccd337bf143a0a7a87	1078	308.93075	10.512	5938	True	0.11975	5938	10.39225	5938	4496	12.184	-0.0002	unclassified	58.61538314819336	NB12_var1	58.61538314819336	40.266666412353516	30	32	10	35	NB	var1
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_sequencing_run_Test_AmpSeq_65999_read_100_ch_1192_strand.fast5	74496aa3-7ce6-4cb1-93a2-4e80d894e79c	fa595ecb16155a30b1ea23ccd337bf143a0a7a87	1192	349.20225	1.222	431	True	0.46725	431	0.75475	431	327	10.599	-0.0029	unclassified	55.07692337036133	NB11_var1	55.07692337036133	18.044445037841797	26	31	54	32	NB	var1
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_mux_scan_Test_AmpSeq_36535_read_9_ch_268_strand.fast5	ee11a73e-6a5b-4910-a7dd-7e93e33fa2a8	dc6f33ab40634a100dda29fa731d104f7d9c9b5d	268	15.529	33.892	19270	True	0.1695	19270	33.7225	19270	12122	11.934	-0.0002	unclassified	35.89743423461914	NB12_var1	35.89743423461914	11.600000381469727	81	32	55	34	NB	var1
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_sequencing_run_Test_AmpSeq_65999_read_100_ch_1394_strand.fast5	7f5173ec-fb6b-4164-b00a-41547630b9d6	fa595ecb16155a30b1ea23ccd337bf143a0a7a87	1394	275.67525	1.024	585	True	0.0	585	1.024	585	337	7.601	-0.0043	unclassified	47.74359130859375	NB11_var2	26.53333282470703	47.74359130859375	3	39	2	25	NB	var2
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_sequencing_run_Test_AmpSeq_65999_read_100_ch_1702_strand.fast5	75c88eda-bc6f-4957-b8d6-e62e4cbb079b	fa595ecb16155a30b1ea23ccd337bf143a0a7a87	1702	152.14225	3.542	728	True	2.2675	728	1.2745	728	267	7.297	-0.0022	unclassified	31.487178802490234	NB11_var2	5.55555534362793	31.487178802490234	15	45	7	31	NB	var2
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_sequencing_run_Test_AmpSeq_65999_read_100_ch_1571_strand.fast5	b10badd0-18b8-48cc-a0d3-29a074fcaadd	fa595ecb16155a30b1ea23ccd337bf143a0a7a87	1571	163.338	1.51125	863	True	0.0	863	1.51125	863	513	8.265	-0.0014	unclassified	33.77358627319336	LWB10_var2	24.98113250732422	33.77358627319336	63	38	107	39	LBW	var2
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_sequencing_run_Test_AmpSeq_65999_read_100_ch_1416_strand.fast5	c32c7ec4-9dea-43ff-a2d0-e791650bba46	fa595ecb16155a30b1ea23ccd337bf143a0a7a87	1416	389.38975	2.0065	963	True	0.32125	963	1.68525	963	657	10.739	-0.0019	barcode12	69.94871520996094	NB12_var1	69.94871520996094	15.377778053283691	29	33	9	44	NB	var1
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_sequencing_run_Test_AmpSeq_65999_read_100_ch_2334_strand.fast5	33eaef2d-7d55-4aab-8710-4f6a02cc3504	fa595ecb16155a30b1ea23ccd337bf143a0a7a87	2334	371.953	1.51775	867	False	0.0	867	1.51775	867	5	3.541	-0.0023	unclassified	-22.41025733947754	NB01_var1	-22.41025733947754	-24.755556106567383	0	5	0	5	NB	var1
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_sequencing_run_Test_AmpSeq_65999_read_100_ch_331_strand.fast5	25bd5f1f-3bb3-4e4c-879c-44cf1082ce95	fa595ecb16155a30b1ea23ccd337bf143a0a7a87	331	344.0645	2.75475	1255	True	0.55775	1255	2.197	1255	963	11.918	-0.001	barcode11	83.64102935791016	NB11_var1	83.64102935791016	25.0222225189209	29	37	18	34	NB	var1
