filename	read_id	run_id	channel	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	num_called_template	sequence_length_template	mean_qscore_template	strand_score_template
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_37_ch_133_strand.fast5	e2d079a2-d77b-4181-8469-8072a0d2b0b4	52b163295bcfff805ebbe566ee02dffe2c40c323	133	280.69074	2.91019	2182	False	0.37467	2182	2.53552	2182	45	5.062	-0.0008
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_69_ch_253_strand.fast5	fb01a966-2d9d-4227-9914-105d6fad9a10	52b163295bcfff805ebbe566ee02dffe2c40c323	253	368.21365	24.51793	21099	True	0.0	21099	24.51793	21099	10863	7.62	-0.0002
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_63_ch_149_strand.fast5	58f3582b-b6f2-4a73-bc41-4b303393b4e5	52b163295bcfff805ebbe566ee02dffe2c40c323	149	378.80196	14.88894	12805	True	0.00896	12805	14.87998	12805	8206	10.748	-0.0003
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_48_ch_213_strand.fast5	1ac57f0b-d34c-47ac-889e-6bb21ade0848	52b163295bcfff805ebbe566ee02dffe2c40c323	213	310.11869	5.17646	4286	True	0.19588	4286	4.98058	4286	2639	11.031	-0.0004
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_43_ch_45_strand.fast5	7b1d3165-f572-40d3-b020-ccd20694b72e	52b163295bcfff805ebbe566ee02dffe2c40c323	45	231.49834	13.70153	11598	True	0.2241	11598	13.47742	11598	6531	12.161	-0.0003
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_36_ch_83_strand.fast5	35affda7-5637-455a-bcec-a4fdf103cbd9	52b163295bcfff805ebbe566ee02dffe2c40c323	83	368.21099	20.13911	17331	True	0.0	17331	20.13911	17331	10658	12.263	-0.0002
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_38_ch_400_strand.fast5	6e63364b-7912-461b-ba71-1fa1c102e359	52b163295bcfff805ebbe566ee02dffe2c40c323	400	206.21298	45.42945	39022	True	0.0845	39022	45.34495	39022	25074	12.123	-0.0002
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_46_ch_478_strand.fast5	ff217fa7-2012-4ba1-b8f2-167c0645ae2a	52b163295bcfff805ebbe566ee02dffe2c40c323	478	315.43509	42.96481	36974	True	0.0	36974	42.96481	36974	22804	9.729	-0.0002
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_43_ch_277_strand.fast5	6f2c9a10-7a27-4e45-94ab-d2926284bde2	52b163295bcfff805ebbe566ee02dffe2c40c323	277	349.3506	18.85624	16227	True	0.0	16227	18.85624	16227	8013	10.417	-0.0002
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_37_ch_12_strand.fast5	83e8c0f7-6ad1-465e-9766-44d5d50ac47b	52b163295bcfff805ebbe566ee02dffe2c40c323	12	240.56092	28.89475	24792	True	0.08533	24792	28.80943	24792	15293	12.493	-0.0002
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_39_ch_453_strand.fast5	ead4c07d-3444-4ba1-a3d6-5569cb2b8405	52b163295bcfff805ebbe566ee02dffe2c40c323	453	350.61238	11.19622	9604	True	0.03552	9604	11.16069	9604	6576	11.61	-0.0002
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_64_ch_94_strand.fast5	348b709f-4ca1-44da-8fba-c222c299866d	52b163295bcfff805ebbe566ee02dffe2c40c323	94	357.23921	10.95883	9381	True	0.05793	9381	10.9009	9381	5446	12.673	-0.0001
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_59_ch_253_strand.fast5	8bb72117-3edb-480a-b5db-dfd41b7a1b6f	52b163295bcfff805ebbe566ee02dffe2c40c323	253	315.42829	27.6255	23773	True	0.0	23773	27.6255	23773	12128	7.373	-0.0003
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_4_ch_441_strand.fast5	2bc8ce84-21fc-4d3d-b4f6-1ac2de0930a2	52b163295bcfff805ebbe566ee02dffe2c40c323	441	41.05959	41.71348	35686	True	0.24535	35686	41.46813	35686	21118	13.223	-0.0002
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_14_ch_21_strand.fast5	864fddaf-f307-4e3b-b35a-1930b0a5d0f4	52b163295bcfff805ebbe566ee02dffe2c40c323	21	129.66999	49.78884	42821	True	0.02955	42821	49.7593	42821	25638	12.09	-0.0002
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_43_ch_24_strand.fast5	1347604a-aee7-4530-972c-967ec19edf07	52b163295bcfff805ebbe566ee02dffe2c40c323	24	254.37533	41.42198	35627	True	0.02175	35627	41.40023	35627	21001	11.432	-0.0002
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_31_ch_83_strand.fast5	9a3a4e45-2485-42c4-9e52-8ff7c86cc3e6	52b163295bcfff805ebbe566ee02dffe2c40c323	83	336.93708	16.12782	13879	True	0.0	13879	16.12782	13879	8380	12.664	-0.0002
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_50_ch_238_strand.fast5	e634224f-b004-4d2d-ba9c-320cee38d5d5	52b163295bcfff805ebbe566ee02dffe2c40c323	238	320.63828	36.38081	31213	True	0.11006	31213	36.27075	31213	17428	10.201	-0.0002
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_33_ch_115_strand.fast5	ff3d25ac-0fc2-46ca-a532-e2f3d29a52d4	52b163295bcfff805ebbe566ee02dffe2c40c323	115	328.8408	49.583	42434	True	0.27307	42434	49.30993	42434	23759	10.201	-0.0001
