filename	read_id	run_id	channel	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	num_called_template	sequence_length_template	mean_qscore_template	strand_score_template	calibration_strand_genome_template	calibration_strand_identity_template	calibration_strand_accuracy_template	aligned_speed_bps_template
211	211	A	299	11.14409	3.69389	544	FALSE	0.98473	544	2.70916	544	47	3.977	-0.0031	filtered_out	-1	-1	0
212	212	A	433	15.00963	3.72377	747	FALSE	0	747	3.72377	747	135	6.392	-0.0015	filtered_out	-1	-1	0
213	213	A	431	13.84628	4.56806	917	FALSE	0	917	4.56806	917	103	5.231	-6.00E-04	filtered_out	-1	-1	0
214	214	A	359	17.68493	8.93293	1793	TRUE	0	1793	8.93293	1793	666	9.118	-0.0013	filtered_out	-1	-1	0
215	215	A	223	14.43692	3.90405	783	FALSE	0	783	3.90405	783	200	5.858	-0.0019	filtered_out	-1	-1	0
216	216	A	38	19.74635	11.83599	2376	TRUE	0	2376	11.83599	2376	836	8.343	-8.00E-04	filtered_out	-1	-1	0
217	217	A	409	10.6992	5.61587	1127	FALSE	0	1127	5.61587	1127	81	4.981	-0.0018	filtered_out	-1	-1	0
218	218	A	207	15.6929	5.31308	856	FALSE	1.04748	856	4.2656	856	68	4.716	-0.0014	filtered_out	-1	-1	0
219	219	A	212	10.416	3.4326	0	FALSE	0	0	0	0	0	0	0	no_match	-1	-1	0
220	220	A	197	13.46448	8.95684	1798	TRUE	0	1798	8.95684	1798	606	8.878	-0.0016	filtered_out	-1	-1	0
221	221	A	310	5.59794	5.3672	1077	TRUE	0	1077	5.3672	1077	274	7.481	-0.0016	filtered_out	-1	-1	0
222	222	A	41	5.27224	6.28619	1262	FALSE	0	1262	6.28619	1262	274	6.845	-0.0028	filtered_out	-1	-1	0
223	223	A	315	5.36487	3.20916	0	FALSE	0	0	0	0	0	0	0	no_match	-1	-1	0
224	224	A	490	15.07404	3.86886	776	FALSE	0	776	3.86886	776	115	5.903	-0.0022	filtered_out	-1	-1	0
225	225	A	442	12.92264	6.75598	1356	TRUE	0	1356	6.75598	1356	506	7.196	-0.0013	filtered_out	-1	-1	0
226	226	A	327	16.54084	12.43659	2497	TRUE	0	2497	12.43659	2497	962	9.495	-9.00E-04	filtered_out	-1	-1	0
